timestamp_s,arm,jt_J1,jt_J2,jt_J3,jt_J4,jt_J5,jt_J6,jt_J7,ee_Fx,ee_Fy,ee_Fz,ee_Tx,ee_Ty,ee_Tz
0.0000,1,0.38206279277801514,0.06507056951522827,-0.5082299709320068,19.049861907958984,0.48499795794487,1.89341402053833,-0.1770043522119522,1.5089798494415299,0.2235307031201784,-0.261494950779247,-0.3987834334099077,1.0534428111028487,0.362021834089586
0.0000,2,-0.07742851972579956,10.168319702148438,-1.8417611122131348,18.696014404296875,0.6845764517784119,1.691555142402649,-0.06845859438180923,3.409295413443868,-0.8726071972142495,3.0598003066308515,0.5698507313158697,1.9402517042682557,-0.09737601835180702
0.1001,1,0.38206279277801514,0.06507056951522827,-0.5082299709320068,19.049861907958984,0.48499795794487,1.89341402053833,-0.1770043522119522,1.5089798494415299,0.2235307031201784,-0.261494950779247,-0.3987834334099077,1.0534428111028487,0.362021834089586
0.1001,2,-0.07742851972579956,10.168319702148438,-1.8417611122131348,18.696014404296875,0.6845764517784119,1.691555142402649,-0.06845859438180923,3.409295413443868,-0.8726071972142495,3.0598003066308515,0.5698507313158697,1.9402517042682557,-0.09737601835180702
0.2019,1,0.40586650371551514,0.11664527654647827,-0.48045897483825684,19.153011322021484,0.5088016986846924,1.88059663772583,-0.1834130436182022,1.5229089847484605,0.22240594030875613,-0.2773566789273642,-0.3983259278996086,1.0627374062347599,0.3610972169444867
0.2019,2,-0.10519951581954956,10.092941284179688,-1.8417611122131348,18.696014404296875,0.6845764517784119,1.704372525215149,-0.041908301413059235,3.4352090687092294,-0.8797900411741685,3.0835637862949756,0.5714285702036233,1.955868745732597,-0.09969256756300529
0.3862,1,0.40586650371551514,0.09284156560897827,-0.5082299709320068,19.125240325927734,0.49140664935112,1.89341402053833,-0.1962304264307022,1.520240535046778,0.20981371315092245,-0.28010991344084407,-0.3904586574260333,1.0619109399206612,0.3589258917160437
0.3862,2,-0.02982109785079956,10.092941284179688,-1.8179574012756348,18.696014404296875,0.6900696158409119,1.710781216621399,-0.055641211569309235,3.4257902067199737,-0.8658739955446741,3.0628986144825947,0.5679606813896158,1.9497996346042024,-0.09606315484960964
0.4948,1,0.48124492168426514,0.09284156560897827,-0.5320336818695068,19.077632904052734,0.5033085346221924,1.88059663772583,-0.1834130436182022,1.498089729331348,0.226459618052293,-0.26725039060082,-0.40045897352810134,1.0442765580960331,0.3621886439879566
0.4948,2,-0.05362480878829956,10.092941284179688,-1.8417611122131348,18.696014404296875,0.6845764517784119,1.704372525215149,-0.029090918600559235,3.4291207291380283,-0.8704269234090141,3.055018551057092,0.571016862764551,1.953066419827931,-0.0983637048491052
0.5954,1,0.40586650371551514,0.04126685857772827,-0.5082299709320068,19.101436614990234,0.5033085346221924,1.88700532913208,-0.1834130436182022,1.5191587689568393,0.2203577325278377,-0.2579123482795591,-0.39748007837212807,1.0593238764384865,0.3605955898060751
0.5954,2,-0.05362480878829956,10.069137573242188,-1.8417611122131348,18.672210693359375,0.6845764517784119,1.697963833808899,-0.035499610006809235,3.397465197599207,-0.8701971207023552,3.0781980339018573,0.5680048278855085,1.935869215842172,-0.0956467721591394
0.7333,1,0.40586650371551514,0.09284156560897827,-0.5558373928070068,19.077632904052734,0.5033085346221924,1.88059663772583,-0.1770043522119522,1.5315143551542025,0.22320535822165607,-0.278827204498637,-0.3998912563777976,1.0709850725777224,0.3611438807081875
0.7333,2,-0.02982109785079956,10.069137573242188,-1.8417611122131348,18.747589111328125,0.6900696158409119,1.710781216621399,-0.035499610006809235,3.397758930766934,-0.8722909417990625,3.0731103671070232,0.5694930283564905,1.9352013503182022,-0.09816965650516386
0.8336,1,0.40586650371551514,0.04126685857772827,-0.48045897483825684,19.101436614990234,0.49689981341362,1.88700532913208,-0.1376366764307022,1.5127878307276963,0.21536769878871803,-0.26617531793560656,-0.39234484827229965,1.0547275233826876,0.3591051557259186
0.8336,2,-0.0020501017570495605,10.069137573242188,-1.8655648231506348,18.696014404296875,0.6900696158409119,1.697963833808899,-0.022682227194309235,3.4135096689413165,-0.8852784863591602,3.0600688170327905,0.5752403410293716,1.9442896708330528,-0.09802786367868017
0.9511,1,0.45744121074676514,0.09284156560897827,-0.5082299709320068,19.077632904052734,0.49140664935112,1.87418794631958,-0.1834130436182022,1.54574361507412,0.21346625824144194,-0.2759812891429953,-0.3924897582156405,1.0794817042997598,0.3599697075232162
0.9511,2,-0.05362480878829956,10.069137573242188,-1.7663826942443848,18.719818115234375,0.6900696158409119,1.697963833808899,-0.035499610006809235,3.409475990072098,-0.8706625097753652,3.0676545373590067,0.5699852100138958,1.9416049643413058,-0.09638496666825079
1.0554,1,0.40586650371551514,0.06507056951522827,-0.5320336818695068,19.049861907958984,0.49689981341362,1.88700532913208,-0.1568627506494522,1.510167748944532,0.23322088562439902,-0.2730888739593756,-0.40649949885408676,1.0561616677524772,0.3632544811001588
1.0554,2,-0.02982109785079956,10.069137573242188,-1.8417611122131348,18.747589111328125,0.6900696158409119,1.718105435371399,-0.022682227194309235,3.4343642823251788,-0.8676964829982873,3.058995429373761,0.5685352571232223,1.9558168827202753,-0.09123829945703459
1.1641,1,0.42967021465301514,0.04126685857772827,-0.48045897483825684,19.125240325927734,0.49689981341362,1.89341402053833,-0.1898217350244522,1.5474400569218607,0.23555120499388083,-0.26828852319326735,-0.40958953980931906,1.0801660787309928,0.3654382638422019
1.1641,2,-0.02982109785079956,10.069137573242188,-1.8179574012756348,18.696014404296875,0.6781677603721619,1.710781216621399,-0.022682227194309235,3.428213407185672,-0.8665618680555541,3.081100426591312,0.5660676263167743,1.9520779672593922,-0.09771839515547082
1.2646,1,0.45744121074676514,0.09284156560897827,-0.48045897483825684,19.125240325927734,0.48499795794487,1.89341402053833,-0.1834130436182022,1.515327453721096,0.22596685756791263,-0.2785436677454959,-0.40177224595938543,1.0597740443640582,0.36225812260385515
1.2646,2,-0.02982109785079956,10.120712280273438,-1.9171395301818848,18.747589111328125,0.6845764517784119,1.697963833808899,-0.008949317038059235,3.4288050445367033,-0.8769416653175858,3.072416104483576,0.5687473387174483,1.9513562633327481,-0.0991002358307282
1.3647,1,0.42967021465301514,0.09284156560897827,-0.48045897483825684,19.125240325927734,0.5033085346221924,1.88700532913208,-0.1898217350244522,1.5009227938419363,0.23259838604848246,-0.2796492368008969,-0.40485873920109294,1.0484744857050439,0.3660124206683733
1.3647,2,-0.07742851972579956,10.092941284179688,-1.8417611122131348,18.644439697265625,0.6845764517784119,1.710781216621399,-0.008949317038059235,3.417561987796096,-0.8658242521739291,3.0717484470614047,0.5674004523577277,1.9430455998199174,-0.09660270864267363
1.4648,1,0.42967021465301514,0.06507056951522827,-0.5320336818695068,19.125240325927734,0.5088016986846924,1.87418794631958,-0.1834130436182022,1.5170174529643277,0.23290455905287846,-0.28862169443145036,-0.40631592481981316,1.0615220700182655,0.36399651887491513
1.4648,2,-0.07742851972579956,10.041366577148438,-1.8655648231506348,18.719818115234375,0.7019714713096619,1.697963833808899,-0.029090918600559235,3.4118966347726465,-0.8744832319495107,3.073686881968899,0.5690926969686088,1.9421933221732803,-0.0963908573098601
1.5649,1,0.42967021465301514,0.11664527654647827,-0.5320336818695068,19.049861907958984,0.49689981341362,1.88700532913208,-0.1440453678369522,1.514461918028437,0.22154823476701868,-0.29492997574133517,-0.3981555948728052,1.0614972504540503,0.36506416732141467
1.5649,2,-0.0020501017570495605,10.092941284179688,-1.8655648231506348,18.747589111328125,0.6845764517784119,1.718105435371399,-0.022682227194309235,3.414689772835459,-0.8823381545865421,3.0569210571937595,0.5766947955278723,1.9429627902777789,-0.09748903307911762
1.6650,1,0.42967021465301514,0.06507056951522827,-0.5082299709320068,19.101436614990234,0.5033085346221924,1.88059663772583,-0.1641869693994522,1.4978947297376883,0.23935950261348296,-0.2916822391305006,-0.41058269202640496,1.0490245314773297,0.36610412766821293
1.6650,2,-0.05362480878829956,10.120712280273438,-1.8179574012756348,18.696014404296875,0.6900696158409119,1.697963833808899,-0.048316992819309235,3.426606678218451,-0.8726176306498225,3.077838646632864,0.57078833977432,1.9484797669388005,-0.09554661465476341
1.7665,1,0.38206279277801514,0.09284156560897827,-0.5320336818695068,19.153011322021484,0.49689981341362,1.88700532913208,-0.1641869693994522,1.5333331188723596,0.22228204405625449,-0.2782630569682121,-0.39889938681545223,1.072359139942018,0.3649340879671015
1.7665,2,-0.05362480878829956,10.092941284179688,-1.8933358192443848,18.696014404296875,0.6964783072471619,1.704372525215149,-0.062049902975559235,3.4340726628960963,-0.8913912388954199,3.083051763841708,0.58320991883597,1.953206883298231,-0.10078249723633387
1.8683,1,0.42967021465301514,0.04126685857772827,-0.5082299709320068,19.200618743896484,0.5033085346221924,1.87418794631958,-0.1705956608057022,1.5257020830707468,0.22952196504468303,-0.28686637187853203,-0.40506292459902116,1.06762100535239,0.36206567472343143
1.8683,2,-0.07742851972579956,10.144515991210938,-1.8655648231506348,18.747589111328125,0.6845764517784119,1.710781216621399,-0.055641211569309235,3.4075067452970447,-0.8643715773490934,3.041507666845112,0.5641286946684564,1.941862850517952,-0.0955669827216733
1.9684,1,0.45744121074676514,0.11664527654647827,-0.5082299709320068,19.101436614990234,0.49689981341362,1.88059663772583,-0.1568627506494522,1.5073690331813796,0.2208909078692368,-0.2705440613821666,-0.3978506009146986,1.0523020768943154,0.35916321170751253
1.9684,2,-0.07742851972579956,10.069137573242188,-1.8417611122131348,18.672210693359375,0.6845764517784119,1.697963833808899,-0.048316992819309235,3.40922694229804,-0.8723746195159091,3.0593057098151752,0.5700571902415603,1.938917141727621,-0.09683121436253292
2.0704,1,0.40586650371551514,0.09284156560897827,-0.5558373928070068,19.125240325927734,0.49689981341362,1.88700532913208,-0.1705956608057022,1.505095978253698,0.2344978183147343,-0.26340064808358976,-0.4089570188970078,1.0490230633174948,0.36336966225451983
2.0704,2,-0.07742851972579956,10.092941284179688,-1.7941536903381348,18.696014404296875,0.6781677603721619,1.710781216621399,-0.016273535788059235,3.4067140248649492,-0.8760946848955543,3.03852266733226,0.5724551567788997,1.9432738105213536,-0.09594320495921939
2.1705,1,0.42967021465301514,0.09284156560897827,-0.5082299709320068,19.153011322021484,0.49689981341362,1.87418794631958,-0.1898217350244522,1.5270503909765192,0.22214419177453987,-0.26623147587783114,-0.39958883168687725,1.0641568268821826,0.3618394660195286
2.1705,2,-0.05362480878829956,10.041366577148438,-1.8655648231506348,18.747589111328125,0.6964783072471619,1.704372525215149,-0.029090918600559235,3.4301966323468887,-0.8749455028372317,3.066620223790182,0.5735113003635076,1.9533473903506677,-0.09657417597211215
2.2791,1,0.38206279277801514,0.11664527654647827,-0.5320336818695068,19.125240325927734,0.5033085346221924,1.88059663772583,-0.1962304264307022,1.5272959845042549,0.22188574563633529,-0.2845334272686568,-0.3989060663527787,1.0681419873406763,0.3606233084190291
2.2791,2,-0.05362480878829956,10.092941284179688,-1.8417611122131348,18.696014404296875,0.6900696158409119,1.704372525215149,-0.048316992819309235,3.4268122051746106,-0.8705453882632905,3.0795775633835754,0.567113189846048,1.9495412170922182,-0.09730663938064196
2.3792,1,0.45744121074676514,0.01746314764022827,-0.5320336818695068,19.049861907958984,0.49140664935112,1.89982271194458,-0.1705956608057022,1.500461483878622,0.22820286944610604,-0.2895578218652811,-0.40215055790721493,1.0497473700263185,0.36449069419393254
2.3792,2,-0.02982109785079956,10.120712280273438,-1.8179574012756348,18.719818115234375,0.6845764517784119,1.710781216621399,-0.048316992819309235,3.425617856419623,-0.8869675586672076,3.0631455609237013,0.5751748848196393,1.9513101583739694,-0.09581172669071106
2.4804,1,0.40586650371551514,0.11664527654647827,-0.5082299709320068,19.101436614990234,0.5033085346221924,1.88700532913208,-0.1705956608057022,1.5323409076219694,0.22886057056889975,-0.2834289531447129,-0.40334899279871134,1.0710724922542831,0.3631023689935918
2.4804,2,-0.07742851972579956,10.120712280273438,-1.8417611122131348,18.719818115234375,0.6845764517784119,1.697963833808899,-0.035499610006809235,3.4357967036376227,-0.8703134883494174,3.0713076793603573,0.5703648713975864,1.959150911292432,-0.09616978558393509
2.5805,1,0.42967021465301514,0.06507056951522827,-0.5082299709320068,19.101436614990234,0.47950479388237,1.88700532913208,-0.1705956608057022,1.5088949651605181,0.21053140624370456,-0.288759235952992,-0.39163084427910755,1.0592376330996847,0.3579354592536473
2.5805,2,-0.02982109785079956,10.120712280273438,-1.8655648231506348,18.719818115234375,0.6900696158409119,1.710781216621399,-0.022682227194309235,3.4025146984997194,-0.849287816142276,3.055364332879761,0.5587136411221975,1.9408900849934663,-0.09116284469125023
2.6827,1,0.42967021465301514,0.06507056951522827,-0.5082299709320068,19.101436614990234,0.49140664935112,1.88700532913208,-0.1376366764307022,1.5646006060327105,0.21809067220420042,-0.2635437680134206,-0.3965351500710478,1.0907572256112854,0.36285500616067123
